Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;331000000158001042;Пробка;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900080401701203596;Винт M12X35;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900080401701205096;Винт М12Х50;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;401040321200102126;Гайка М12;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488861000000016;Масленка;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900597336000001206;Шайба стопорная Ф12;Номер заказа;128
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106150011;Ось;Номер заказа;129
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106210001;Корпус;Номер заказа;129
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106220001;Опора;Номер заказа;129
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900080401701003096;Винт M10X30;Номер заказа;129
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106301002;Планка;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106410001;Рычаг;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106321001;Эксцентрик;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106324002;Ось;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106401002;Ось;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106330001;Плашка;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900080402801003006;Винт М10Х30;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900080401701203096;Винт M12X30;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106430002;Втулка;Номер заказа;131
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106501002;Шток;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106502002;Втулка;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106503012;Поршень;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106510001;Цилиндр;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106530001;Втулка;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;403000422015047002;Заглушка;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488861000000126;Масленка;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488624001401356;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488620000009796;Уплотнение;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488601000150156;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488614000045306;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488601000140216;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488614000130586;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488624000601486;Кольцо;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488620000000616;Уплотнение;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900263163030601006;Манжета;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900489515700607076;Грязесъемник;Номер заказа;133
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106500011;Гидроцилиндр;Номер заказа;135
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106501012;Шток;Номер заказа;135
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106510011;Цилиндр;Номер заказа;135
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;311000000112022002;Гайка;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106601002;Поршень;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106603002;Шток;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106602002;Втулка;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106640001;Цилиндр;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106604002;Втулка;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488624000800956;Кольцо;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900561475108064556;Уплотнение;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488601000080156;Кольцо;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488614000070586;Кольцо;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488614000035306;Кольцо;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900561468100050606;Уплотнение;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900488624000500966;Кольцо;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900263163000500586;Манжета;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;900489515700505866;Грязесъемник;Номер заказа;137
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106703002;Шток;Номер заказа;139
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;173000000106710001;Цилиндр;Номер заказа;139
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ;173000000106000001;321000000623040011;Втулка;Номер заказа;139
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109020001;Блок;Номер заказа;142
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109030001;Корпус;Номер заказа;142
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109040001;Кронштейн;Номер заказа;142
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109050001;Хомут;Номер заказа;142
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109060001;Гидроцилиндр;Номер заказа;142
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;362000000113110002;Планка;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000000109003009;Шайба;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000000109007002;Ось;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109001002;Ось;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900080401701203076;Винт М12х30;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900597336000101606;Шайба стопорная Ф16;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900080401701604076;Винт М16х40;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900597336000001206;Шайба стопорная Ф12;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488861000000126;Масленка;Номер заказа;144
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109004002;Ось;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109002002;Ось;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109003002;Ось;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109005002;Планка;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109006002;Винт;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109007002;Гайка натяжная;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109008002;Гайка;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109011002;Планка;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900080401701002576;Винт М10х25;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900080401700802576;Винт М8х25;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900597336000001006;Шайба стопорная Ф10;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;401040322000102126;Гайка М20;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900597336000000086;Шайба стопорная Ф8;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900597336000002006;Шайба стопорная Ф20;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;401003970806302102;Шплинт;Номер заказа;146
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109014002;Ось;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109015009;Вкладыш;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109012002;Прокладка;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109012012;Прокладка;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900080401701606576;Винт М16х65;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900487970022061026;Канат;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900487970022061036;Канат;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109013002;Ригель;Номер заказа;148
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;321000000535033002;Втулка направляющая;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488624000952456;Кольцо направляющее;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488620000901066;Уплотнение;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;331000002006018002;Шток;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488601000115026;Кольцо опорное;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900263163090105036;Манжета;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900489515700901026;Грязесъемник;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;311000000112023002;Гайка;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;331000001007003002;Кронштейн;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488624001251986;Кольцо направляющее;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900561456000125596;Уплотнение;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;401064021000002106;Шайба стопорная Ф10;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900485100010052216;Штуцер;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;401098330450030002;Кольцо;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;900488601000150106;Кольцо опорное;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;403000180012500002;Поршень;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109070001;Цилиндр;Номер заказа;150
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000000109352002;Втулка;Номер заказа;151
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм подачи;068000001109000001;068000001109021002;Блок;Номер заказа;151
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103030001;Опора;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000113200001;Труба верхняя;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000113300001;Труба с направляющими;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103010001;Кронштейн;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401402004596;Болт М20Х45-10.9-АЗР;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900597336000002006;Шайба стопорная (NL=20);Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;068000001106020041;Ось;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;068000001105070001;Ось в сборе;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401401203076;Болт M12X30-8.8;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900597336000001206;Шайба стопорная (NL=12);Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;403000110832010011;Гидроцилиндр 80Х320-1А;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103020001;Кронштейн;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103002002;Прокладка;Номер заказа;154
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401401203576;Болт M12X35-8.8-A3P 12;Номер заказа;155
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000113301002;Сектор;Номер заказа;155
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000113315002;Фланец;Номер заказа;155
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401040321200102126;Гайка М12-10-АЗР;Номер заказа;155
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103050001;Опора;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103060001;Опора;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000113100001;Труба нижняя;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103500001;Редуктор;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;068000000103004002;Втулка;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401402007006;Болт М20Х70-8.8-АЗР;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401040322000102126;Гайка М20-10-АЗР;Номер заказа;156
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103501002;Корпус;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103502002;Крышка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103503002;Крышка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103504002;Крышка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103505002;Крышка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103506002;Крышка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103507002;Вал;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103508002;Шестерня;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103509002;Втулка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103511002;Прокладка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103512002;Прокладка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103513002;Шайба;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103514002;Прокладка;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103520001;Колесо червячное;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;173000000103530001;Червяк;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;052000000504144002;Кольцо;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401701002596;Винт М10Х25-10.9-АЗР;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401701202596;Винт M12Х25-10.9-А3Р;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900080401700802096;Винт M8X20-10.9-А3Р;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900488386000241006;Гидромотор;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900489515722000506;Кольцо стопорное С50;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900263168000070106;Манжета;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900461000000021006;Подшипник;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900461000300721206;Подшипник;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900461000004630806;Подшипник;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;900082203401206006;Шпилька;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401098330540025002;Кольцо 054-058-25-2-3;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401098330850030002;Кольцо 085-090-30-2-3;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401098331050030002;Кольцо 105-110-30-2-3;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Механизм поворота штанг;173000000113000001;401098331650036002;Кольцо 165-170-36-2-3;Номер заказа;158
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107010001;Гидроцилиндр;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107030001;Направляющая;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107100001;Корпус;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107001002;Ось;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107002002;Втулка;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001117003002;Вилка;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107004002;Планка;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107005002;Ось;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900080401401203066;М12х30;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;401064021200002106;Шайба стопорная;Номер заказа;161
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000000107001002;Платик;Номер заказа;162
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;068000001107006002;Прокладка;Номер заказа;162
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900080401402005066;Болт М20х50;Номер заказа;162
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;401064022000002106;Шайба стопорная;Номер заказа;162
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;311000000112021002;Гайка;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;321000000202086002;Кольцо;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;321000000623040051;Втулка;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;403000160006002002;Втулка;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900489515700364466;Грязесъемник;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;401098330240025002;Кольцо;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;401098330550030002;Кольцо;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900488624000360966;Кольцо направляющее;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900488624000601956;Кольцо направляющее;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900488601000028116;Кольцо опорное;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900488601000060556;Кольцо опорное;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;403000340620030011;Корпус;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900263163030361006;Манжета;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;403000180006000002;Поршень;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900561475106049046;Уплотнение;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;900561468160036046;Уплотнение;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Ключ удерживающий;068000001107000001;403000200620003002;Шток;Номер заказа;164
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;068000000108200001;Перила;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124100001;Платформа;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124300001;Направляющая;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124400001;Блок в сборе;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124500001;Гидроцилиндр;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701602576;Винт М16х25;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;401064021600002106;Шайба стопорная Ф16;Номер заказа;167
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701003076;Винт М10х30;Номер заказа;167
